keyword,search_volume,competition,average_price,review_count,favorites,listing_age,estimated_sales,estimated_revenue,conversion_rate,colors,fonts,sheet_count,layout,file_types,thumbnail_style
monthly budget planner,18200,7400,12.99,840,2300,420,310,4026,4.2,"sage green,neutral",Inter,12,dashboard,PDF|XLSX,laptop mockup
debt snowball tracker,12600,4100,9.99,390,1280,270,245,2448,4.8,"dark green,black",Montserrat,8,progress tracker,XLSX,dashboard closeup
small business expense tracker,15800,6800,16.99,510,1640,360,280,4757,4.5,"navy,green",Inter,14,business dashboard,XLSX|GSHEET,screen mockup
net worth tracker,9400,2200,11.99,210,780,190,190,2278,5.1,"black,emerald",JetBrains Mono,7,financial dashboard,XLSX,chart closeup
cash envelope budget,11200,5600,7.99,660,1420,510,220,1758,3.9,"pastel,pink",Poppins,10,weekly planner,PDF,printable pages
dividend tracker spreadsheet,7800,1800,18.99,150,620,160,170,3228,5.4,"dark,green",Roboto Mono,9,investment dashboard,XLSX,dashboard closeup
adhd budget planner,8600,2900,13.99,275,910,210,185,2588,5.0,"pastel,purple",Poppins,11,simple dashboard,PDF|XLSX,colorful pages
wedding budget spreadsheet,14400,8300,14.99,920,2150,600,260,3897,4.0,"beige,gold",Playfair Display,15,wedding planner,XLSX|PDF,lifestyle mockup
weekly expense tracker,6700,3900,6.99,330,880,330,145,1014,3.7,"blue,neutral",Montserrat,5,weekly tracker,PDF,printable pages
profit loss template,10800,4700,15.99,410,1120,290,230,3678,4.6,"navy,gray",Inter,8,business statement,XLSX,screen mockup
fire retirement planner,5900,980,21.99,95,440,120,135,2969,5.8,"black,orange",JetBrains Mono,13,fire dashboard,XLSX,chart closeup
family budget binder,10100,6100,10.99,580,1370,440,205,2253,4.1,"neutral,sage green",Poppins,18,family planner,PDF|XLSX,binder mockup
